Предлог,Падеж,Варианты,N,Хаген,Т. Ф. Ефремова,Ляшевская-Шаров,Викисловарь,МАС,Opencorpora,ХАНКО,НКРЯ,SemSyn,Рогожникова,Шведова,Иомдин,Комментарий
во здравие,Род,,3,,-,-,-,Устойч. сочетание,,+,+,,-,-,-,МАС: наречный оборот
возле,Род,,10,+,+,+,+,+,+,+,+,,,+,+,
в ознаменование,Род,,3,,-,-,-,Устойч. сочетание,,+,+,,-,-,-,"МАС: предложный оборот, но без контекстов"
во избежание,Род,,8,+,+,-,Устойч. сочетание,Устойч. сочетание,,+,+,,+,-,+,"МАС: предложный оборот, но без контекстов"
во изменение,Род,,4,+,+,-,-,-,,+,+,,-,-,-,
во имя,Род,,9,+,+,-,"Устойчивое сочетание, исп. в кач-ве предлога",Устойч. сочетание,,+,+,+,+,+,-,МАС: предложный оборот
во исполнение,Род,,2,+,+,-,-,-,,-,-,,-,-,-,"НКРЯ: омонимия снята, предлог + сущ."
вокруг,Род,,10,+,+,+,+,+,+,+,+,,,+,+,
в окружении,Род,,5,,-,-,-,Сочетание в знач. предлога,,+,+,+,+,-,-,
вопреки,Дат,,10,+,+,+,+,+,+,+,+,,,+,+,
во славу,Род,,7,+,+,-,Устойчивое сочетание (предлог),Устойч. сочетание,,+,+,,+,-,-,МАС: предложный оборот ?
в ответ на,Вин,,6,+, +,-,-,-,,+,-,+,+,+,-,"Вики: указано уст. сочетание в ответ
МАС: указано уст. сочетание в ответ
НКРЯ: омонимия снята, наречный оборот + предлог"
в отдалении от,Род,в отдалении ото,3,+,+,-,-,Предлог В во составе наречн. сочетания,,-,-,,-,-,-,"НКРЯ: омонимия снята, наречный оборот + предлог"
в отличие от,Род,в отличие ото,10,+,+,-,"Устойчивое сочетание, исп. в кач-ве предлога",Устойч. сочетание,,+,+,+,+,+,+,МАС: предложный оборот
в отмену,Род,,2,,-,-,-,Устойч. сочетание,,-,+,,-,-,-,МАС: предложный оборот
в отношении,Род,,10,+,+,-,"Устойчивое сочетание, исп. в кач-ве предлога",Сочетание в знач. предлога,,+,+,+,+,+,+,
в отношении к,Дат,в отношении ко,4,,-,-,+,+,,-,-,+,+,-,-,"НКРЯ: омонимия снята, предложный оборот + предлог"
в отрыве от,Род,в отрыве ото,4,,-,-,"В отрыве: Устойчивое сочетание, исп. в кач-ве предлога",Устойч. сочетание,,-,+,,+,-,-,МАС: предложный оборот
в отсутствие,Род,,3,,-,-,Устойчивое сочетание,Устойч. сочетание,,-,+,,-,-,-,"МАС: предложный ? оборот, разрывное"
в память,"Род, Дат",,6,+,+,-,-,-,,+,+,+,+,-,-,
в память о,Предл,"в память об
в память обо",4,,+,-,-,-,,+,+,+,-,-,-,
в пандан,Дат,,3,,+,-,"Устойчивое сочетание, исп. в кач-ве предлога","В пандан к:
Устойч. сочетание",,-,-,,-,-,-,"НКРЯ: омонимия снята, наречный оборот"
впереди,Род,,9,+,+,+,+,+,+,Нареч.,+,,,+,+,Ханко: контексты только с наречием 
вперёд,Род,вперед,6,+,+,+,-,Нареч. в знач. предлога,+,Нареч.,+,,,-,-,Ханко: контексты только с наречием 
в плане,Род,,6,+,+,-,-,-,,+,+,+,+,-,-,
вплотную к,Дат,вплотную ко,3,,+,-,-,-,,+,+,,-,-,-,"Вики: вплотную – нареч.
МАС: вплотную – нареч."
вплоть до,Род,,10,+,+,-,"Устойчивое сочетание, исп. в кач-ве предлога",Предложное сочетание с наречием,,+,+,+,+,+,+,
вплоть к,Дат,вплоть ко,2,,-,-,-,-,,-,+,+,-,-,-,
вплоть у,Род,,1,,-,-,-,-,,-,-,+,-,-,-,"НКРЯ: омонимия не снята, наречие + предлог"
в подтверждение,Род,,2,,-,-,-,-,,-,+,+,нареч.,-,-,НКРЯ: приведён в списке наречных оборотов с примечанием «Также может выступать в функции предлога»
в поле,Род,,1,,-,-,-,-,,+,-,,-,-,-,"НКРЯ: омонимия снята, предлог + сущ."
в пользу,Род,,9,+,+,-,"Устойчивое сочетание, исп. в кач-ве предлога",Устойч. сочетание,,+,+,+,+,+,-,"МАС: предложный оборот, разрывное"
в порядке,Род,,9,+,+,-,"Устойчивое сочетание, исп. в кач-ве предлога",Сочетание в знач. предлога,,+,+,+,+,+,-,
вправо от,Род,вправо ото,2,,-,-,-,-,,+,+,,-,-,-,"МАС: вправо – нареч.
Вики: вправо – нареч."
в предвидении,Род,в предвиденье,5,+,+,-,-,-,,+,+,,+,-,-,
в предвижении,Род,в предвиженье,1,,-,-,-,-,,+,-,,,-,-,
в предвкушении,Род,в предвкушенье,5,+,+,-,-,-,,+,+,,+,-,-,
в преддверии,Род,"в преддверие
в преддверье
в преддверьи",7,+,+,-,"Устойчивое сочетание, исп. в кач-ве предлога",-,,+,+,+,+,-,-,
в пределах,Род,,5,,+,-,-,-,,+,+,+,-,+,-,
в пределы,Род,,1,,+,-,-,-,,-,-,,-,-,-,"НКРЯ: омонимия снята, предлог + сущ"
впредь до,Род,,8,+,+,-,"Устойчивое сочетание, исп. в кач-ве предлога",Устойч. сочетание ,,+,+,,+,+,-,МАС: предложный оборот
в придачу к,Дат,в придачу ко,1,,-,-,-,-,,-,-,+,нареч.,-,-,"МАС: в придачу – уст. сочетание
Вики: в придачу - устойчивое сочетание, исп. в кач-ве наречия 
НКРЯ: омонимия снята, наречный оборот + предлог"
в приложение к,Дат,в приложение ко,1,,-,-,-,-,,+,-,,-,-,-,"НКРЯ: омонимия не снята, предлог + сущ. + предлог"
в применении к,Дат,в применении ко,3,,-,-,-,Сочетание в знач. предлога,,+,+,,-,-,-,
в присутствии,Род,,3,+,+,-,-,-,,-,-,+,-,-,-,"НКРЯ: омонимия снята, предлог + сущ."
в продолжение,Род,в продолженье,9,+,+,-,"Устойчивое сочетание, исп. в кач-ве предлога",Сочетание в знач. предлога,,+,+,+,+,+,-,
в противность,Дат,,3,+,-,-,-,Сочетание в знач. предлога,,-,+,,-,-,-,
в противовес,Дат,,7,+,+,-,-,Сочетание в знач. предлога,,+,+,,+,+,-,
в противоположность,Дат,,7,+,+,-,-,Сочетание в знач. предлога,,+,+,,+,+,-,
в процессе,Род,,7,+,+,-,-,Устойч. сочетание,,+,+,+,+,-,-,МАС: предложный оборот
вразрез,Дат,,4,+,+,-,"Нареч., также предлог",нареч.,Нареч.,Нареч.,+,,,-,-,
в разгар,Род,,1,,-,-,-,-,,-,+,,-,-,-,
в размере,Род,,1,,-,-,-,-,,-,+,,-,-,-,
в разрезе,Род,,4,+,+,-,Устойч. сочетание,Устойч. сочетание,,-,-,,-,-,-,"МАС: предложный оборот
НКРЯ: омонимия снята, предлог + сущ."
в районе,Род,,6,+,+,-,Устойч. сочетание,-,,+,+,,-,+,-,
в рамках,Род,,8,+,+,-,Устойч. сочетание,-,,+,+,+,+,+,-,
в рамки,Род,,3,,+,-,-,-,,+,+,,-,-,-,
в ранге,Род,,1,,-,-,-,-,,-,-,+,-,-,-,"НКРЯ: омонимия снята, предлог + сущ."
в распоряжение,"Род, Дат",,2,,-,-,-,Устойч. сочетание,,-,+,,-,-,-,МАС: предложный оборот
в распоряжении,Род,,3,,-,-,-,Устойч. сочетание,,+,+,,-,-,-,МАС: предложный оборот
в рассуждении,Род,,4,+,-,-,-,Устойч. сочетание,,+,+,,-,-,-,МАС: предложный оборот
в расчёте на,Вин,в расчете на,7,+,+,-,Устойч. сочетание,-,,+,+,+,+,-,-,
в результате,Род,,8,+,+,-,"Устойчивое сочетание, исп. в кач-ве предлога",Сочетание в знач. предлога,,+,-,+,+,+,-,"НКРЯ: омонимия снята, наречный оборот"
вровень с,Твор,вровень со,4,,-,-,-,Нареч.,,+,+,+,-,+,-,Вики: вровень – нареч.
вроде,Род,,10,+,+,+,+,+,+,+,+,,,+,+,
в роли,Род,,9,+,+,-,"Устойчивое сочетание, исп. в кач-ве предлога",Устойч. сочетание,,+,+,+,+,+,-,МАС: предложный оборот
в русле,Род,,1,,-,-,-,-,,-,+,,-,-,-,
в ряде,Род,,1,,-,-,-,-,,-,+,,-,-,-,
в ряду,Род,,7,+,+,-,-,Устойч. сочетание,,+,+,+,+,-,-,МАС: предложный оборот
в ряду с,Твор,в ряду со,1,,-,-,-,-,,-,-,+,-,-,-,"НКРЯ: омонимия снята, предлог + сущ. + предлог"
в свете,Род,,9,+,+,-,Устойчивое сочетание,Устойч. сочетание,,+,+,+,+,+,-,МАС: предложный оборот
в связи с,Твор,в связи со,10,+,+,-,"Устойчивое сочетание, исп. в кач-ве предлога",Устойч. сочетание,,+,+,+,+,+,+,МАС: предложный оборот
в середине,Род,,5,,-,-,Устойчивое сочетание,"?
Устойч. сочетание",,+,+,+,-,-,-,МАС: указано наречное уст. сочетание в середине
в силу,Род,,9,+,+,-,"Устойчивое сочетание, исп. в кач-ве предлога",Устойч. сочетание,,+,+,+,+,+,-,МАС: предложный оборот
вслед,Дат,вослед,8,+,+,+,+,Нареч. в знач. предлога,+,Нареч.,+,,,+,-,Ханко: 1 контекст
вслед за,Твор,вослед за,9,+,+,-,"Устойчивое сочетание, исп. в кач-ве наречной группы",Предложное сочетание с предлогом ЗА,,+,+,+,+,+,-,Вики: указан в категории Русские предлоги
вследствие,Род,,10,+,+,+,+,+,+,+,+,,,+,+,
в случае,Род,,9,+,+,-,"Устойчивое сочетание, исп. в кач-ве предлога",Устойч. сочетание,,+,+,+,+,+,-,МАС: предложный оборот
в смысле,Род,,8,+,+,-,"Устойчивое сочетание, исп. в кач-ве предлога",Устойч. сочетание,,+,+,,+,+,-,МАС: предложный оборот
в согласии,Род,,1,,+,-,-,-,,-,-,,-,-,-,"НКРЯ: омонимия снята, предлог + сущ."
в согласии с,Твор,в согласии со,5,+,-,-,-,Устойч. сочетание,,+,+,,-,+,-,МАС: предложный оборот
в содружестве с,Твор,в содружестве со,2,,-,-,-,-,,+,-,,-,+,-,"НКРЯ: омонимия снята, предлог + сущ. + предлог"
в сообществе,Род,,3,,-,-,-,В сообществе с кем: устойч. сочетание,,+,+,,-,-,-,
в сообществе с,Твор,в сообществе со,3,+,-,-,-,Устойч. сочетание,,-,-,-,-,+,-,
в соответствии с,Твор,в соответствии со,10,+,+,-,"Устойчивое сочетание, исп. в кач-ве предлога",Сочетание в знач. предлога,,+,+,+,+,+,+,
в сопоставлении с,Твор,в сопоставлении со,2,+,-,-,-,-,,-,-,+,-,-,-,"НКРЯ: омонимия снята, предлог + сущ. + предлог"
в сопровождении,Род,в сопровожденье,8,+,+,-,-,Устойч. сочетание,,+,+,+,+,+,-,МАС: предложный оборот
в составе,Род,,5,+,+,-,Устойч. сочетание,Устойч. сочетание,,-,+,,-,-,-,МАС: предложный оборот
в сочетании с,Твор,в сочетании со,1,,-,-,-,-,,+,-,,-,-,-,"НКРЯ: омонимия снята, предлог + сущ. + предлог"
в сравнении с,Твор,"в сравнении со
в сравненье с
в сравненье со",7,,+,-,-,Устойч. сочетание,,+,+,+,+,+,-,МАС: предложный оборот ?
в стенах,Род,,1,,-,-,-,-,,-,+,,-,-,-,
в стиле,"Им, Род",,1,,-,-,-,-,,-,-,+,-,-,-,"НКРЯ: омонимия снята, предлог + сущ."
в стороне,Род,,4,,-,-,"Устойч. сочетание, исп. в кач-ве наречия или предлога",Устойч. сочетание,,-,+,-,Нареч./сочетание сущ. с предлогом,-,-,"НКРЯ: приведён в списке наречных оборотов с примечанием «Также может выступать в функции предлога»
МАС: наречный оборот
Ханко: 1 контекст, как часть предлога в стороне от"
в стороне от,Род,в стороне ото,8,,+,-,Устойч. сочетание ?,Предлог В во составе наречн. сочетания,,+,+,+,+,+,-,"Вики: есть указание на странице статьи в стороне, но нет самой статьи в стороне от"
в сторону,Род,,9,+,+,-,Устойч. сочетание,Предлог В во составе наречн. сочетания,,+,+,+,+,+,-,НКРЯ: приведён в списке наречных оборотов с примечанием «Также может выступать в функции предлога»
в сторону от,Род,в сторону ото,2,,-,-,-,-,,-,-,+,-,+,-,"НКРЯ: омонимия снята, наречный оборот + предлог ?"
встречу,Дат,,3,,-,-,+,+,-,,+,,,-,-,Ханко: контексты только с сущ.
в сумме,Род,,1,,-,-,-,-,,-,+,,-,-,-,
в супряге с,Твор,в супряге со,2,,-,-,-,Устойч. сочетание,,-,+,,-,-,-,МАС: предложный оборот
в сфере,Род,,6,+,+,-,-,-,,+,+,+,-,+,-,
в счёт,Род,в счет,8,+,+,-,Устойч. сочетание,Устойч. сочетание,,+,+,+,+,-,-,МАС: предложный оборот
в темпе,Род,,3,,-,-,"Устойчивое сочетание, исп. в кач-ве наречной группы",Устойч. сочетание,,-,+,-,Нареч.,-,-,"НКРЯ: приведён в списке наречных оборотов с примечанием «Также может выступать в функции предлога»
МАС: наречный оборот"
в течение,Род,,10,+,+,-,"Устойчивое сочетание, исп. в кач-ве предлога",Сочетание в знач. предлога,,+,+,+,+,+,+,
в тон,"Род, Дат",,2,,-,-,-,Устойч. сочетание,,-,+,,-,-,-,МАС: предложный оборот
в торце,Род,,1,,-,-,-,-,,-,+,,-,-,-,
в угодность,Дат,,3,,-,-,"Устойчивое сочетание, исп. в кач-ве наречной группы",Устойч. сочетание,,-,+,,-,-,-,МАС: предложный оборот
в угоду,Дат,,5,+,+,-,-,Устойч. сочетание,,-,+,,-,-,+,МАС: предложный оборот
в угон,Дат,,2,,-,-,-,Устойч. сочетание,,-,+,,-,-,-,МАС: наречный оборот ?
в унисон с,Твор,в унисон со,4,+,-,-,-,? Устойч. сочетание,,+,-,,нареч.,+,-,"МАС: указано наречное уст. сочетание в унисон, значение 2 идёт с предлогом С
НКРЯ: омонимия не снята, наречный оборот + предлог"
в уровень с,Твор,в уровень со,4,,-,-,-,Устойч. сочетание,,+,+,,-,+,-,МАС: предложный оборот ?
в условиях,Род,,7,+,+,-,-,-,,+,+,+,+,+,-,
в ущерб,Дат,,8,+,+,-,"Устойчивое сочетание, исп. в кач-ве предлога",Устойч. сочетание,,+,+,+,+,-,-,МАС: предложный оборот
в форме,Род,,6,+,+,-,"Устойчивое сочетание, исп. в кач-ве прилаг. или наречия",Устойч. сочетание,,-,+,+,-,-,-,МАС: наречный оборот
в характере,Род,,2,,-,-,-,Устойч. сочетание,,-,+,,-,-,-,МАС: наречный оборот ?
в ходе,Род,,9,+,+,-,Устойч. сочетание,-,,+,+,+,+,+,+,
в целях,Род,,9,+,+,-,"Устойчивое сочетание, исп. в кач-ве предлога",Устойч. сочетание,,+,+,+,+,+,-,МАС: предложный оборот
в части,Род,,4,,-,-,Устойчивое сочетание,Устойч. сочетание,,-,+,+,-,-,-,МАС: предложный оборот
в честь,Род,,8,+,+,-,Устойчивое сочетание (предлог),Устойч. сочетание,,+,+,,+,+,-,МАС: предложный оборот
в числе,Род,,7,+,+,-,Устойчивое сочетание,-,,+,+,+,+,-,-,
в число,Род,,3,+,+,-,-,-,,-,-,+,-,-,-,"НКРЯ: омонимия снята, предлог + сущ."
в шаге от,Род,в шаге ото,1,,-,-,-,-,,-,+,,-,-,-,
выключая,Род,,4,,-,-,+,Деепр. в знач. предлога,+,,+,,,-,-,
выше,Род,,8,+,+,+,Прил. или нареч.,+,+,+,+,,,-,+,
глядя на,Вин,,2,,-,-,-,-,,+,+,,-,-,-,"Вики: глядя – дееприч.
МАС: глядя – дееприч."
глядя по,Дат,,4,,-,-,-,Устойч. сочетание,,+,+,,-,+,-,"Вики: глядя – дееприч.
МАС: предложный оборот"
далеко за,Вин,,2,,-,-,-,Нареч.,,+,+,,-,-,-,Вики: далеко – нареч.
для,Род,,10,+,+,+,+,+,+,+,+,,,+,+,
