phrase,host,prep,dependant,dependant_case,dependant_lemma,dependant_num,dependant_pos,host_lemma,host_pos,label,corpus
привлекли к уголовной ответственности,привлекли,к,ответственности,datv,ответственность,sing,NOUN,привлечь,VERB,потенсив,taiga
к зданию подъехал,подъехал,к,зданию,datv,здание,sing,NOUN,подъехать,VERB,директив,taiga
близка к максимуму,близка,к,максимуму,datv,максимум,sing,NOUN,близкий,ADJS,квалификатив,taiga
Прислушается к доводам заявителей КС,Прислушается,к,доводам,datv,довод,plur,NOUN,прислушаться,VERB,директив,taiga
относиться к главе министерства иностранных дел,относиться,к,главе,datv,глава,sing,NOUN,относиться,INFN,тематив,taiga
ожидаются к вечеру вторника,ожидаются,к,вечеру,datv,вечер,sing,NOUN,ожидаться,VERB,темпоратив,taiga
подготовили к совершению терактов на сирийской территории,подготовили,к,совершению,datv,совершение,sing,NOUN,подготовить,VERB,дестинатив,taiga
привело к резкому подорожанию услуг,привело,к,подорожанию,datv,подорожание,sing,NOUN,привести,VERB,трансгрессив,taiga
подходили ко мне,подходили,к,мне,datv,я,sing,NPRO,подходить,VERB,директив,taiga
отношения к законным просьбам и обоснованным заявлениям трудящихся»,отношения,к,просьбам,datv,просьба,plur,NOUN,отношение,NOUN,тематив,taiga
приговорили к двум годам колонии,приговорили,к,годам,datv,год,plur,NOUN,приговорить,VERB,дестинатив,taiga
спуска к воде,спуска,к,воде,datv,вода,sing,NOUN,спуск,NOUN,директив,taiga
подходит к молодому человеку,подходит,к,человеку,datv,человек,sing,NOUN,подходить,VERB,директив,taiga
готово к принятию такого законопроекта,готово,к,принятию,datv,принятие,sing,NOUN,готовый,ADJS,дестинатив,taiga
к этим новациям относитесь,относитесь,к,новациям,datv,новация,plur,NOUN,относиться,VERB,тематив,taiga
непричастна к покушению,непричастна,к,покушению,datv,покушение,sing,NOUN,непричастный,ADJS,квалификатив,taiga
доступ к персональным данным охотников,доступ,к,данным,datv,данные,plur,NOUN,доступ,NOUN,дестинатив,taiga
устремятся к нам,устремятся,к,нам,datv,мы,plur,NPRO,устремиться,VERB,директив,taiga
работать к востоку от хребта Ломоносова,работать,к,востоку,datv,восток,sing,NOUN,работать,INFN,директив,taiga
обратиться к президенту,обратиться,к,президенту,datv,президент,sing,NOUN,обратиться,INFN,дестинатив,taiga
пришел к выводу о незаконности его действий,пришел,к,выводу,datv,вывод,sing,NOUN,прийти,VERB,директив,taiga
приступила к работам,приступила,к,работам,datv,работа,plur,NOUN,приступить,VERB,трансгрессив,taiga
отнесся к начинаниям властей,отнесся,к,начинаниям,datv,начинание,plur,NOUN,отнестись,VERB,тематив,taiga
к обсуждению вопроса необходимо,необходимо,к,обсуждению,datv,обсуждение,sing,NOUN,необходимый,ADJS,темпоратив,taiga
к городским лесам относится,относится,к,лесам,datv,леса,plur,NOUN,относиться,VERB,квалификатив,taiga
Направились к кабинетам руководства»,Направились,к,кабинетам,datv,кабинет,plur,NOUN,направиться,VERB,директив,taiga
готов к созданию различного рода рабочих групп с любым заинтересованным государством по данной проблематике,готов,к,созданию,datv,создание,sing,NOUN,готовый,ADJS,дестинатив,taiga
шагом к членству в сообществе,шагом,к,членству,datv,членство,sing,NOUN,шагом,ADVB,дестинатив,taiga
относятся к попыткам пациентов,относятся,к,попыткам,datv,попытка,plur,NOUN,относиться,VERB,тематив,taiga
внимание к этой проблеме,внимание,к,проблеме,datv,проблема,sing,NOUN,внимание,NOUN,тематив,taiga
присоединиться к проекту,присоединиться,к,проекту,datv,проект,sing,NOUN,присоединиться,INFN,трансгрессив,taiga
Страсть к покупкам,Страсть,к,покупкам,datv,покупка,plur,NOUN,страсть,NOUN,потенсив,taiga
приступил к массовому выпуску NUM марта,приступил,к,выпуску,datv,выпуск,sing,NOUN,приступить,VERB,трансгрессив,taiga
готовятся к выборам губернатора Подмосковья ; ; В России ;,готовятся,к,выборам,datv,выбор,plur,NOUN,готовиться,VERB,дестинатив,taiga
дополнением к существующим санитарно - эпидемиологическим требованиям к различным видам товаров на территории РФ,дополнением,к,требованиям,datv,требование,plur,NOUN,дополнение,NOUN,дестинатив,taiga
обеспечить к посткризисным условиям,обеспечить,к,условиям,datv,условие,plur,NOUN,обеспечить,INFN,темпоратив,taiga
относитесь к делу,относитесь,к,делу,datv,дело,sing,NOUN,относиться,VERB,тематив,taiga
обращаться к его услугам,обращаться,к,услугам,datv,услуга,plur,NOUN,обращаться,INFN,дестинатив,taiga
требования к новой боевой машине,требования,к,машине,datv,машина,sing,NOUN,требование,NOUN,дестинатив,taiga
приговорил к NUM годам колонии каждого,приговорил,к,годам,datv,год,plur,NOUN,приговорить,VERB,дестинатив,taiga
относится к поколению самолетов,относится,к,поколению,datv,поколение,sing,NOUN,относиться,VERB,квалификатив,taiga
подойти к нему,подойти,к,нему,datv,он,sing,NPRO,подойти,INFN,директив,taiga
допустить к обсуждению,допустить,к,обсуждению,datv,обсуждение,sing,NOUN,допустить,INFN,дестинатив,taiga
к нему подошел,подошел,к,нему,datv,он,sing,NPRO,подойти,VERB,директив,taiga
ближе к полудню,ближе,к,полудню,datv,полдень,sing,NOUN,близкий,COMP,темпоратив,taiga
доступ к гражданским навигационным сигналам российской глобальной навигационной спутниковой системы ГЛОНАСС,доступ,к,сигналам,datv,сигнал,plur,NOUN,доступ,NOUN,потенсив,taiga
привлекался к уголовной ответственности за оборот наркотиков,привлекался,к,ответственности,datv,ответственность,sing,NOUN,привлекаться,VERB,потенсив,taiga
обратился к главе Следственного комитета,обратился,к,главе,datv,глава,sing,NOUN,обратиться,VERB,дестинатив,taiga
обращаясь к местным жителям,обращаясь,к,жителям,datv,житель,plur,NOUN,обращаться,GRND,дестинатив,taiga
приговорил к уплате NUM рублей штрафа,приговорил,к,уплате,datv,уплата,sing,NOUN,приговорить,VERB,дестинатив,taiga
причисленными к среднему классу,причисленными,к,классу,datv,класс,sing,NOUN,причислить,PRTF,квалификатив,taiga
к окончанию месяца евровалюта упала,упала,к,окончанию,datv,окончание,sing,NOUN,упасть,VERB,темпоратив,taiga
привлекавшийся к уголовной ответственности за совершение грабежа,привлекавшийся,к,ответственности,datv,ответственность,sing,NOUN,привлекаться,PRTF,потенсив,taiga
стремления к карьерному росту,стремления,к,росту,datv,рост,sing,NOUN,стремление,NOUN,потенсив,taiga
приговорили к NUM годам тюрьмы,приговорили,к,годам,datv,год,plur,NOUN,приговорить,VERB,дестинатив,taiga
доступ к основанию колонны,доступ,к,основанию,datv,основание,sing,NOUN,доступ,NOUN,потенсив,taiga
к осадкам присоединятся,присоединятся,к,осадкам,datv,осадка,plur,NOUN,присоединиться,VERB,квалификатив,taiga
относятся к компетенции правительства Санкт-Петербурга»,относятся,к,компетенции,datv,компетенция,sing,NOUN,относиться,VERB,квалификатив,taiga
ведет к железнодорожному переезду на улице Мира,ведет,к,переезду,datv,переезд,sing,NOUN,вести,VERB,директив,taiga
строился к Кубку конфедераций и ЧМ- NUM,строился,к,Кубку,datv,кубок,sing,NOUN,строиться,VERB,темпоратив,taiga
готовы к безопасной уборке крыш от снега,готовы,к,уборке,datv,уборка,sing,NOUN,готовый,ADJS,дестинатив,taiga
"призыв к действию """,призыв,к,действию,datv,действие,sing,NOUN,призыв,NOUN,потенсив,taiga
близкий к Кремлю,близкий,к,Кремлю,datv,кремль,sing,NOUN,близкий,ADJF,квалификатив,taiga
приступил к своим обязанностям,приступил,к,обязанностям,datv,обязанность,plur,NOUN,приступить,VERB,трансгрессив,taiga
условно и к штрафу в размере NUM тыс,условно,к,штрафу,datv,штраф,sing,NOUN,условно,ADVB,дестинатив,taiga
причастности к хакерским атакам,причастности,к,атакам,datv,атака,plur,NOUN,причастность,NOUN,квалификатив,taiga
"добавление к этому законопроекту до его рассмотрения палатой представителей """,добавление,к,законопроекту,datv,законопроект,sing,NOUN,добавление,NOUN,квалификатив,taiga
отошли к вице-губернатору Олегу Маркову,отошли,к,вице-губернатору,datv,вице-губернатор,sing,NOUN,отойти,VERB,дестинатив,taiga
обратимся к руководителю ФСИН Александру Реймеру,обратимся,к,руководителю,datv,руководитель,sing,NOUN,обратиться,VERB,дестинатив,taiga
поправки к закону,поправки,к,закону,datv,закон,sing,NOUN,поправка,NOUN,дестинатив,taiga
готово к переезду,готово,к,переезду,datv,переезд,sing,NOUN,готовый,ADJS,дестинатив,taiga
вернётся к видеосалонам,вернётся,к,видеосалонам,datv,видеосалон,plur,NOUN,вернуться,VERB,дестинатив,taiga
доступ к кредиту,доступ,к,кредиту,datv,кредит,sing,NOUN,доступ,NOUN,потенсив,taiga
приговорившего к трем годам лишения свободы начальника милиции общественной безопасности города Оха Сергея Панченко,приговорившего,к,годам,datv,год,plur,NOUN,приговорить,PRTF,дестинатив,taiga
курс к рублю,курс,к,рублю,datv,рубль,sing,NOUN,курс,NOUN,квалификатив,taiga
к ее экватору заканчивается,заканчивается,к,экватору,datv,экватор,sing,NOUN,заканчиваться,VERB,директив,taiga
к нам поступило,поступило,к,нам,datv,мы,plur,NPRO,поступить,VERB,дестинатив,taiga
доступ к почте граждан только по решению суда,доступ,к,почте,datv,почта,sing,NOUN,доступ,NOUN,потенсив,taiga
приводит к дополнительной нагрузке на экспортеров,приводит,к,нагрузке,datv,нагрузка,sing,NOUN,приводить,VERB,трансгрессив,taiga
приступить к решительным действиям,приступить,к,действиям,datv,действие,plur,NOUN,приступить,INFN,трансгрессив,taiga
внимание к тому немаловажному обстоятельству,внимание,к,обстоятельству,datv,обстоятельство,sing,NOUN,внимание,NOUN,тематив,taiga
приговорил к штрафу в NUM тысяч,приговорил,к,штрафу,datv,штраф,sing,NOUN,приговорить,VERB,дестинатив,taiga
подготовку к сезону,подготовку,к,сезону,datv,сезон,sing,NOUN,подготовка,NOUN,дестинатив,taiga
готовности к отопительному сезону от жилищной инспекции до NUM сентября,готовности,к,сезону,datv,сезон,sing,NOUN,готовность,NOUN,дестинатив,taiga
пройти к Егору Яковлеву,пройти,к,Егору,datv,егор,sing,NOUN,пройти,INFN,директив,taiga
приуроченных ко Дню Победы и майским праздникам в YEAR году,приуроченных,к,Дню,datv,день,sing,NOUN,приурочить,PRTF,дестинатив,taiga
привлекать к ответственности,привлекать,к,ответственности,datv,ответственность,sing,NOUN,привлекать,INFN,потенсив,taiga
к молодым девушкам присматриваются,присматриваются,к,девушкам,datv,девушка,plur,NOUN,присматриваться,VERB,директив,taiga
близкие к комитету,близкие,к,комитету,datv,комитет,sing,NOUN,близкие,NOUN,директив,taiga
привел к падению популярности других сервисов,привел,к,падению,datv,падение,sing,NOUN,привести,VERB,трансгрессив,taiga
запрещенного к показу,запрещенного,к,показу,datv,показ,sing,NOUN,запретить,PRTF,потенсив,taiga
отнестись к этому вопросу,отнестись,к,вопросу,datv,вопрос,sing,NOUN,отнестись,INFN,тематив,taiga
отнестись к этому,отнестись,к,этому,datv,это,sing,NPRO,отнестись,INFN,тематив,taiga
обратился к родителям и родственникам демонстрантов,обратился,к,родителям,datv,родитель,plur,NOUN,обратиться,VERB,дестинатив,taiga
доверие к людям,доверие,к,людям,datv,человек,plur,NOUN,доверие,NOUN,тематив,taiga
приступим к тренировкам,приступим,к,тренировкам,datv,тренировка,plur,NOUN,приступить,VERB,трансгрессив,taiga
приведет к миру,приведет,к,миру,datv,мир,sing,NOUN,привести,VERB,трансгрессив,taiga
подходить к его архитектурному облику,подходить,к,облику,datv,облик,sing,NOUN,подходить,INFN,квалификатив,taiga
к протестам местного населения и возражениям экологов добавятся,добавятся,к,протестам,datv,протест,plur,NOUN,добавиться,VERB,квалификатив,taiga
приводит к запутыванию фотонов,приводит,к,запутыванию,datv,запутывание,sing,NOUN,приводить,VERB,трансгрессив,taiga
взывал к гуманизму,взывал,к,гуманизму,datv,гуманизм,sing,NOUN,взывать,VERB,тематив,taiga
комментарии к закону,комментарии,к,закону,datv,закон,sing,NOUN,комментарий,NOUN,дестинатив,taiga
требования к Михайлову,требования,к,Михайлову,datv,михайлов,sing,NOUN,требование,NOUN,дестинатив,taiga
обратился к президенту РФ,обратился,к,президенту,datv,президент,sing,NOUN,обратиться,VERB,дестинатив,taiga
приступает своевременно к исполнению договора,приступает,к,исполнению,datv,исполнение,sing,NOUN,приступать,VERB,трансгрессив,taiga
приблизится к одному миллиону,приблизится,к,миллиону,datv,миллион,sing,NOUN,приблизиться,VERB,директив,taiga
готовится к новому рекорду,готовится,к,рекорду,datv,рекорд,sing,NOUN,готовиться,VERB,дестинатив,taiga
подходов к завершению работы над резолюцией Совета Безопасности ООН по мерам воздействия на КНДР,подходов,к,завершению,datv,завершение,sing,NOUN,подход,NOUN,дестинатив,taiga
подготовке к зиме,подготовке,к,зиме,datv,зима,sing,NOUN,подготовка,NOUN,дестинатив,taiga
стремятся к большому увеличению населения,стремятся,к,увеличению,datv,увеличение,sing,NOUN,стремиться,VERB,дестинатив,taiga
ближе к рассвету,ближе,к,рассвету,datv,рассвет,sing,NOUN,близкий,COMP,темпоратив,taiga
призыв к выносу,призыв,к,выносу,datv,вынос,sing,NOUN,призыв,NOUN,тематив,taiga
поспешил к травмированному сыну,поспешил,к,сыну,datv,сын,sing,NOUN,поспешить,VERB,директив,taiga
к вечеру должен,должен,к,вечеру,datv,вечер,sing,NOUN,должный,ADJS,темпоратив,taiga
привлечь к проблеме донорства,привлечь,к,проблеме,datv,проблема,sing,NOUN,привлечь,INFN,потенсив,taiga
доступ к которым,доступ,к,которым,datv,который,plur,ADJF,доступ,NOUN,потенсив,taiga
поворачивалась к залу,поворачивалась,к,залу,datv,зал,sing,NOUN,поворачиваться,VERB,директив,taiga
Ближе к завершению общественных слушаний,Ближе,к,завершению,datv,завершение,sing,NOUN,близкий,COMP,темпоратив,taiga
отправляют к психологам,отправляют,к,психологам,datv,психолог,plur,NOUN,отправлять,VERB,директив,taiga
сводились к следующему,сводились,к,следующему,datv,следующий,sing,ADJF,сводиться,VERB,дестинатив,taiga
ведет к полноправному вступлению третьей страны в Союз,ведет,к,вступлению,datv,вступление,sing,NOUN,вести,VERB,трансгрессив,taiga
ко мне поступало,поступало,к,мне,datv,я,sing,NPRO,поступать,VERB,дестинатив,taiga
постановления к заместителю председателя правительства Ольге Голодец,постановления,к,заместителю,datv,заместитель,sing,NOUN,постановление,NOUN,дестинатив,taiga
приговорить к NUM годам тюрьмы,приговорить,к,годам,datv,год,plur,NOUN,приговорить,INFN,дестинатив,taiga
отправит к астероиду,отправит,к,астероиду,datv,астероид,sing,NOUN,отправить,VERB,директив,taiga
меры к розыску и задержанию преступников,меры,к,розыску,datv,розыск,sing,NOUN,мера,NOUN,дестинатив,taiga
Утверждено к зенитно - ракетным комплексам «С - NUM и «С - YEAR,Утверждено,к,комплексам,datv,комплекс,plur,NOUN,утвердить,PRTS,дестинатив,taiga
к каждому объекту подход,подход,к,объекту,datv,объект,sing,NOUN,подход,NOUN,дестинатив,taiga
"поправки к закону "" Об обороне """,поправки,к,закону,datv,закон,sing,NOUN,поправка,NOUN,дестинатив,taiga
приуроченного в том числе к годовщине выборов депутатов ЗакСа и Госдумы,приуроченного,к,годовщине,datv,годовщина,sing,NOUN,приурочить,PRTF,дестинатив,taiga
обратился к ранее знакомому с предложением совершить убийство за денежное вознаграждение,обратился,к,знакомому,datv,знакомый,sing,ADJF,обратиться,VERB,дестинатив,taiga
подключили к аппарату искусственной вентиляции легких,подключили,к,аппарату,datv,аппарат,sing,NOUN,подключить,VERB,трансгрессив,taiga
направится к берегам Сирии NUM - NUM сентября,направится,к,берегам,datv,берег,plur,NOUN,направиться,VERB,директив,taiga
прибавка к жалованию,прибавка,к,жалованию,datv,жалование,sing,NOUN,прибавка,NOUN,дестинатив,taiga
ведет к применению принудительных мер,ведет,к,применению,datv,применение,sing,NOUN,вести,VERB,трансгрессив,taiga
к прохожим приставал,приставал,к,прохожим,datv,прохожий,plur,NOUN,приставать,VERB,дестинатив,taiga
привело к выделению огромного количества ядовитых газов,привело,к,выделению,datv,выделение,sing,NOUN,привести,VERB,трансгрессив,taiga
иску к журналистке,иску,к,журналистке,datv,журналистка,sing,NOUN,иск,NOUN,дестинатив,taiga
подключения к электросетям и системе тепловодоснабжения городского отдела внутренних дел,подключения,к,электросетям,datv,электросеть,plur,NOUN,подключение,NOUN,трансгрессив,taiga
доступ к двум дипломатическим жилым комплексам,доступ,к,комплексам,datv,комплекс,plur,NOUN,доступ,NOUN,потенсив,taiga
ЗакС к рассмотрению,ЗакС,к,рассмотрению,datv,рассмотрение,sing,NOUN,закс,NOUN,трансгрессив,taiga
призывы к массовым беспорядкам,призывы,к,беспорядкам,datv,беспорядок,plur,NOUN,призыв,NOUN,потенсив,taiga
крепятся к глухим торцам домов,крепятся,к,торцам,datv,торец,plur,NOUN,крепиться,VERB,директив,taiga
привел к сокращению инвестиций на YEAR %,привел,к,сокращению,datv,сокращение,sing,NOUN,привести,VERB,трансгрессив,taiga
удостоверение к знаку,удостоверение,к,знаку,datv,знак,sing,NOUN,удостоверение,NOUN,дестинатив,taiga
готовятся к выборам в Госдуму РФ,готовятся,к,выборам,datv,выбор,plur,NOUN,готовиться,VERB,дестинатив,taiga
перехода к хранению наличных,перехода,к,хранению,datv,хранение,sing,NOUN,переход,NOUN,трансгрессив,taiga
крючком к развитию мирового финансового кризиса,крючком,к,развитию,datv,развитие,sing,NOUN,крючок,NOUN,потенсив,taiga
склонить к тайному сотрудничеству против России,склонить,к,сотрудничеству,datv,сотрудничество,sing,NOUN,склонить,INFN,потенсив,taiga
приблизились к миллиарду долларов,приблизились,к,миллиарду,datv,миллиард,sing,NOUN,приблизиться,VERB,директив,taiga
комментарии к опубликованным записям,комментарии,к,записям,datv,запись,plur,NOUN,комментарий,NOUN,дестинатив,taiga
приговорил к NUM годам лишения свободы в колонии строгого режима,приговорил,к,годам,datv,год,plur,NOUN,приговорить,VERB,дестинатив,taiga
отношение к великому сказочнику,отношение,к,сказочнику,datv,сказочник,sing,NOUN,отношение,NOUN,тематив,taiga
претензии к трем предприятиям,претензии,к,предприятиям,datv,предприятие,plur,NOUN,претензия,NOUN,дестинатив,taiga
призвал к признанию Донецкой и Луганской народных республик,призвал,к,признанию,datv,признание,sing,NOUN,призвать,VERB,потенсив,taiga
выход к Кронштадту,выход,к,Кронштадту,datv,кронштадт,sing,NOUN,выход,NOUN,директив,taiga
приговоренный к NUM годам колонии по условиям сделки,приговоренный,к,годам,datv,год,plur,NOUN,приговорить,PRTF,дестинатив,taiga
поправки к закону о квартирном имуществе,поправки,к,закону,datv,закон,sing,NOUN,поправка,NOUN,директив,taiga
обратившихся к государству,обратившихся,к,государству,datv,государство,sing,NOUN,обратиться,PRTF,дестинатив,taiga
обратилась к партнерам,обратилась,к,партнерам,datv,партнёр,plur,NOUN,обратиться,VERB,дестинатив,taiga
Дополнительно к этому,Дополнительно,к,этому,datv,это,sing,NPRO,дополнительно,ADVB,дестинатив,taiga
к нему относиться,относиться,к,нему,datv,он,sing,NPRO,относиться,INFN,квалификатив,taiga
пишет к губернатору,пишет,к,губернатору,datv,губернатор,sing,NOUN,писать,VERB,дестинатив,taiga
обратились к Зюганову,обратились,к,Зюганову,datv,зюганов,sing,NOUN,обратиться,VERB,дестинатив,taiga
приведет к сокращению количества самих СРО,приведет,к,сокращению,datv,сокращение,sing,NOUN,привести,VERB,трансгрессив,taiga
подали к остановке,подали,к,остановке,datv,остановка,sing,NOUN,подать,VERB,директив,taiga
привлечен к административной ответственности,привлечен,к,ответственности,datv,ответственность,sing,NOUN,привлечь,PRTS,потенсив,taiga
отношение к исчезновению российского оппозиционера Леонида Развозжаева в Киеве,отношение,к,исчезновению,datv,исчезновение,sing,NOUN,отношение,NOUN,квалификатив,taiga
приступили к работам,приступили,к,работам,datv,работа,plur,NOUN,приступить,VERB,трансгрессив,taiga
приведет к образованию гололеда на дорогах и тротуарах,приведет,к,образованию,datv,образование,sing,NOUN,привести,VERB,трансгрессив,taiga
к билету идут,идут,к,билету,datv,билет,sing,NOUN,идти,VERB,потенсив,taiga
требования к кандидату очень высокие,требования,к,кандидату,datv,кандидат,sing,NOUN,требование,NOUN,дестинатив,taiga
мода к использованию отечественных материалов,мода,к,использованию,datv,использование,sing,NOUN,мода,NOUN,дестинатив,taiga
приуроченное к NUM с начала работы первой Государственной думы,приуроченное,к,110-летию,datv,110-летие,sing,NOUN,приурочить,PRTF,дестинатив,taiga
обращения к омбудсмену,обращения,к,омбудсмену,datv,омбудсмен,sing,NOUN,обращение,NOUN,дестинатив,taiga
Требования к операторам связи,Требования,к,операторам,datv,оператор,plur,NOUN,требование,NOUN,дестинатив,taiga
перехода к формированию плавающего курса рубля,перехода,к,формированию,datv,формирование,sing,NOUN,переход,NOUN,трансгрессив,taiga
приговорены к пожизненному заключению,приговорены,к,заключению,datv,заключение,sing,NOUN,приговорить,PRTS,дестинатив,taiga
поступит к президенту,поступит,к,президенту,datv,президент,sing,NOUN,поступить,VERB,дестинатив,taiga
представлена к награде,представлена,к,награде,datv,награда,sing,NOUN,представить,PRTS,потенсив,taiga
переоценили к новым торгам,переоценили,к,торгам,datv,торг,plur,NOUN,переоценить,VERB,темпоратив,taiga
"обращением к президенту России """,обращением,к,президенту,datv,президент,sing,NOUN,обращение,NOUN,дестинатив,taiga
обратился к своему страховщику,обратился,к,страховщику,datv,страховщик,sing,NOUN,обратиться,VERB,дестинатив,taiga
отнестись к сопернику,отнестись,к,сопернику,datv,соперник,sing,NOUN,отнестись,INFN,тематив,taiga
втерлась к ветерану войны,втерлась,к,ветерану,datv,ветеран,sing,NOUN,втереться,VERB,дестинатив,taiga
подать к крупнейшим банкам страны,подать,к,банкам,datv,банка,plur,NOUN,подать,INFN,дестинатив,taiga
привозит к нам,привозит,к,нам,datv,мы,plur,NPRO,привозить,VERB,директив,taiga
приговорили к пяти годам реального срока за мошенничество,приговорили,к,годам,datv,год,plur,NOUN,приговорить,VERB,дестинатив,taiga
требования к порядку присвоения улицам имен,Требования,к,порядку,datv,порядок,sing,NOUN,требование,NOUN,дестинатив,taiga
дал к ограблению,дал,к,ограблению,datv,ограбление,sing,NOUN,дать,VERB,потенсив,taiga
выезжать к больным в марлевых повязках,выезжать,к,больным,datv,больной,plur,ADJF,выезжать,INFN,директив,taiga
выросло к первому полугодию YEAR года,выросло,к,полугодию,datv,полугодие,sing,NOUN,вырасти,VERB,темпоратив,taiga
приговорил к четырем годам лишения свободы,приговорил,к,годам,datv,год,plur,NOUN,приговорить,VERB,дестинатив,taiga
призывают к молитве муэдзины,призывают,к,молитве,datv,молитва,sing,NOUN,призывать,VERB,потенсив,taiga
нужно к январю YEAR года,нужно,к,январю,datv,январь,sing,NOUN,нужно,PRED,темпоратив,taiga
отношения к христианству,отношения,к,христианству,datv,христианство,sing,NOUN,отношение,NOUN,тематив,taiga
близка к рынку,близка,к,рынку,datv,рынок,sing,NOUN,близкий,ADJS,директив,taiga
к открытию готовятся,готовятся,к,открытию,datv,открытие,sing,NOUN,готовиться,VERB,дестинатив,taiga
отношения к собственному здоровью и здоровью окружающих,отношения,к,здоровью,datv,здоровье,sing,NOUN,отношение,NOUN,тематив,taiga
Только к июню ожидается,ожидается,к,июню,datv,июнь,sing,NOUN,ожидаться,VERB,темпоратив,taiga
к припаркованному рядом служебному «Форду Фокус» подошел,подошел,к,Форду,datv,форд,sing,NOUN,подойти,VERB,директив,taiga
приблизившись к NUM рублям ( NUM рубля ),приблизившись,к,рублям,datv,рубль,plur,NOUN,приблизиться,GRND,директив,taiga
направился к журналистам,направился,к,журналистам,datv,журналист,plur,NOUN,направиться,VERB,директив,taiga
укрепился к бивалютной корзине ( YEAR доллара и YEAR евро ),укрепился,к,корзине,datv,корзина,sing,NOUN,укрепиться,VERB,квалификатив,taiga
подготовились к первому матчу,подготовились,к,матчу,datv,матч,sing,NOUN,подготовиться,VERB,дестинатив,taiga
имеют к банкроту,имеют,к,банкроту,datv,банкрот,sing,NOUN,иметь,VERB,дестинатив,taiga
ждут к NUM часам,ждут,к,часам,datv,часы,plur,NOUN,ждать,VERB,темпоратив,taiga
опоздал к умирающей пациентке,опоздал,к,пациентке,datv,пациентка,sing,NOUN,опоздать,VERB,директив,taiga
относятся и к католикам,относятся,к,католикам,datv,католик,plur,NOUN,относиться,VERB,квалификатив,taiga
к несчастному случаю привело,привело,к,случаю,datv,случай,sing,NOUN,привести,VERB,трансгрессив,taiga
планируется к июлю YEAR года,планируется,к,июлю,datv,июль,sing,NOUN,планироваться,VERB,темпоратив,taiga
к вечеру воскресенья достигло,достигло,к,вечеру,datv,вечер,sing,NOUN,достигнуть,VERB,темпоратив,taiga
обратилась к главе Центрального района Матвиенко,обратилась,к,главе,datv,глава,sing,NOUN,обратиться,VERB,дестинатив,taiga
терпение к многочисленным ссылкам адвокатов,терпение,к,ссылкам,datv,ссылка,plur,NOUN,терпение,NOUN,тематив,taiga
отойти к комитету по развитию транспортной инфраструктуры,отойти,к,комитету,datv,комитет,sing,NOUN,отойти,INFN,дестинатив,taiga
приговорили к шести годам лишения свободы в колонии строгого режима,приговорили,к,годам,datv,год,plur,NOUN,приговорить,VERB,дестинатив,taiga
привлечь к ответственности,привлечь,к,ответственности,datv,ответственность,sing,NOUN,привлечь,INFN,потенсив,taiga
призыв к объединению КПРФ со «Справедливой Россией»,призыв,к,объединению,datv,объединение,sing,NOUN,призыв,NOUN,потенсив,taiga
