phrase,host,prep,dependant,dependant_case,dependant_lemma,dependant_num,dependant_pos,host_lemma,host_pos,label,,,,
постановления к заместителю председателя правительства Ольге Голодец,постановления,к,заместителю,datv,заместитель,sing,NOUN,постановление,NOUN,дестинатив,,,,
приговорить к NUM годам тюрьмы,приговорить,к,годам,datv,год,plur,NOUN,приговорить,INFN,дестинатив,,,,
отправит к астероиду,отправит,к,астероиду,datv,астероид,sing,NOUN,отправить,VERB,директив,,,,
меры к розыску и задержанию преступников,меры,к,розыску,datv,розыск,sing,NOUN,мера,NOUN,дестинатив,,,,
Утверждено к зенитно - ракетным комплексам «С - NUM и «С - YEAR,Утверждено,к,комплексам,datv,комплекс,plur,NOUN,утвердить,PRTS,дестинатив,,,,
к каждому объекту подход,подход,к,объекту,datv,объект,sing,NOUN,подход,NOUN,дестинатив,,,,
"поправки к закону "" Об обороне """,поправки,к,закону,datv,закон,sing,NOUN,поправка,NOUN,дестинатив,,,,
приуроченного в том числе к годовщине выборов депутатов ЗакСа и Госдумы,приуроченного,к,годовщине,datv,годовщина,sing,NOUN,приурочить,PRTF,дестинатив,,,,
обратился к ранее знакомому с предложением совершить убийство за денежное вознаграждение,обратился,к,знакомому,datv,знакомый,sing,ADJF,обратиться,VERB,дестинатив,,,,
подключили к аппарату искусственной вентиляции легких,подключили,к,аппарату,datv,аппарат,sing,NOUN,подключить,VERB,трансгрессив,,,,
направится к берегам Сирии NUM - NUM сентября,направится,к,берегам,datv,берег,plur,NOUN,направиться,VERB,директив,,,,
прибавка к жалованию,прибавка,к,жалованию,datv,жалование,sing,NOUN,прибавка,NOUN,дестинатив,,,,
ведет к применению принудительных мер,ведет,к,применению,datv,применение,sing,NOUN,вести,VERB,трансгрессив,,,,
к прохожим приставал,приставал,к,прохожим,datv,прохожий,plur,NOUN,приставать,VERB,дестинатив,,,,
привело к выделению огромного количества ядовитых газов,привело,к,выделению,datv,выделение,sing,NOUN,привести,VERB,трансгрессив,,,,
иску к журналистке,иску,к,журналистке,datv,журналистка,sing,NOUN,иск,NOUN,дестинатив,,,,
подключения к электросетям и системе тепловодоснабжения городского отдела внутренних дел,подключения,к,электросетям,datv,электросеть,plur,NOUN,подключение,NOUN,трансгрессив,,,,
доступ к двум дипломатическим жилым комплексам,доступ,к,комплексам,datv,комплекс,plur,NOUN,доступ,NOUN,потенсив,,,,
ЗакС к рассмотрению,ЗакС,к,рассмотрению,datv,рассмотрение,sing,NOUN,закс,NOUN,трансгрессив,,,,
призывы к массовым беспорядкам,призывы,к,беспорядкам,datv,беспорядок,plur,NOUN,призыв,NOUN,потенсив,,,,
крепятся к глухим торцам домов,крепятся,к,торцам,datv,торец,plur,NOUN,крепиться,VERB,директив,,,,
привел к сокращению инвестиций на YEAR %,привел,к,сокращению,datv,сокращение,sing,NOUN,привести,VERB,трансгрессив,,,,
удостоверение к знаку,удостоверение,к,знаку,datv,знак,sing,NOUN,удостоверение,NOUN,дестинатив,,,,
готовятся к выборам в Госдуму РФ,готовятся,к,выборам,datv,выбор,plur,NOUN,готовиться,VERB,дестинатив,,,,
перехода к хранению наличных,перехода,к,хранению,datv,хранение,sing,NOUN,переход,NOUN,трансгрессив,,,,
крючком к развитию мирового финансового кризиса,крючком,к,развитию,datv,развитие,sing,NOUN,крючок,NOUN,потенсив,,,,
склонить к тайному сотрудничеству против России,склонить,к,сотрудничеству,datv,сотрудничество,sing,NOUN,склонить,INFN,потенсив,,,,
приблизились к миллиарду долларов,приблизились,к,миллиарду,datv,миллиард,sing,NOUN,приблизиться,VERB,директив,,,,
комментарии к опубликованным записям,комментарии,к,записям,datv,запись,plur,NOUN,комментарий,NOUN,дестинатив,,,,
приговорил к NUM годам лишения свободы в колонии строгого режима,приговорил,к,годам,datv,год,plur,NOUN,приговорить,VERB,дестинатив,,,,
отношение к великому сказочнику,отношение,к,сказочнику,datv,сказочник,sing,NOUN,отношение,NOUN,тематив,,,,
претензии к трем предприятиям,претензии,к,предприятиям,datv,предприятие,plur,NOUN,претензия,NOUN,дестинатив,,,,
призвал к признанию Донецкой и Луганской народных республик,призвал,к,признанию,datv,признание,sing,NOUN,призвать,VERB,потенсив,,,,
выход к Кронштадту,выход,к,Кронштадту,datv,кронштадт,sing,NOUN,выход,NOUN,директив,,,,
приговоренный к NUM годам колонии по условиям сделки,приговоренный,к,годам,datv,год,plur,NOUN,приговорить,PRTF,дестинатив,,,,
поправки к закону о квартирном имуществе,поправки,к,закону,datv,закон,sing,NOUN,поправка,NOUN,директив,,,,
обратившихся к государству,обратившихся,к,государству,datv,государство,sing,NOUN,обратиться,PRTF,дестинатив,,,,
обратилась к партнерам,обратилась,к,партнерам,datv,партнёр,plur,NOUN,обратиться,VERB,дестинатив,,,,
Дополнительно к этому,Дополнительно,к,этому,datv,это,sing,NPRO,дополнительно,ADVB,дестинатив,,,,
к нему относиться,относиться,к,нему,datv,он,sing,NPRO,относиться,INFN,квалификатив,,,,
пишет к губернатору,пишет,к,губернатору,datv,губернатор,sing,NOUN,писать,VERB,дестинатив,,,,
обратились к Зюганову,обратились,к,Зюганову,datv,зюганов,sing,NOUN,обратиться,VERB,дестинатив,,,,
приведет к сокращению количества самих СРО,приведет,к,сокращению,datv,сокращение,sing,NOUN,привести,VERB,трансгрессив,,,,
подали к остановке,подали,к,остановке,datv,остановка,sing,NOUN,подать,VERB,директив,,,,
привлечен к административной ответственности,привлечен,к,ответственности,datv,ответственность,sing,NOUN,привлечь,PRTS,потенсив,,,,
отношение к исчезновению российского оппозиционера Леонида Развозжаева в Киеве,отношение,к,исчезновению,datv,исчезновение,sing,NOUN,отношение,NOUN,квалификатив,,,,
приступили к работам,приступили,к,работам,datv,работа,plur,NOUN,приступить,VERB,трансгрессив,,,,
приведет к образованию гололеда на дорогах и тротуарах,приведет,к,образованию,datv,образование,sing,NOUN,привести,VERB,трансгрессив,,,,
к билету идут,идут,к,билету,datv,билет,sing,NOUN,идти,VERB,потенсив,,,,
требования к кандидату очень высокие,требования,к,кандидату,datv,кандидат,sing,NOUN,требование,NOUN,дестинатив,,,,
мода к использованию отечественных материалов,мода,к,использованию,datv,использование,sing,NOUN,мода,NOUN,дестинатив,,,,
приуроченное к NUM с начала работы первой Государственной думы,приуроченное,к,110-летию,datv,110-летие,sing,NOUN,приурочить,PRTF,дестинатив,,,,
обращения к омбудсмену,обращения,к,омбудсмену,datv,омбудсмен,sing,NOUN,обращение,NOUN,дестинатив,,,,
Требования к операторам связи,Требования,к,операторам,datv,оператор,plur,NOUN,требование,NOUN,дестинатив,,,,
перехода к формированию плавающего курса рубля,перехода,к,формированию,datv,формирование,sing,NOUN,переход,NOUN,трансгрессив,,,,
приговорены к пожизненному заключению,приговорены,к,заключению,datv,заключение,sing,NOUN,приговорить,PRTS,дестинатив,,,,
поступит к президенту,поступит,к,президенту,datv,президент,sing,NOUN,поступить,VERB,дестинатив,,,,
представлена к награде,представлена,к,награде,datv,награда,sing,NOUN,представить,PRTS,потенсив,,,,
переоценили к новым торгам,переоценили,к,торгам,datv,торг,plur,NOUN,переоценить,VERB,темпоратив,,,,
"обращением к президенту России """,обращением,к,президенту,datv,президент,sing,NOUN,обращение,NOUN,дестинатив,,,,
обратился к своему страховщику,обратился,к,страховщику,datv,страховщик,sing,NOUN,обратиться,VERB,дестинатив,,,,
отнестись к сопернику,отнестись,к,сопернику,datv,соперник,sing,NOUN,отнестись,INFN,тематив,,,,
втерлась к ветерану войны,втерлась,к,ветерану,datv,ветеран,sing,NOUN,втереться,VERB,дестинатив,,,,
подать к крупнейшим банкам страны,подать,к,банкам,datv,банка,plur,NOUN,подать,INFN,дестинатив,,,,
привозит к нам,привозит,к,нам,datv,мы,plur,NPRO,привозить,VERB,директив,,,,
приговорили к пяти годам реального срока за мошенничество,приговорили,к,годам,datv,год,plur,NOUN,приговорить,VERB,дестинатив,,,,
требования к порядку присвоения улицам имен,Требования,к,порядку,datv,порядок,sing,NOUN,требование,NOUN,дестинатив,,,,
дал к ограблению,дал,к,ограблению,datv,ограбление,sing,NOUN,дать,VERB,потенсив,,,,
выезжать к больным в марлевых повязках,выезжать,к,больным,datv,больной,plur,ADJF,выезжать,INFN,директив,,,,
выросло к первому полугодию YEAR года,выросло,к,полугодию,datv,полугодие,sing,NOUN,вырасти,VERB,темпоратив,,,,
приговорил к четырем годам лишения свободы,приговорил,к,годам,datv,год,plur,NOUN,приговорить,VERB,дестинатив,,,,
призывают к молитве муэдзины,призывают,к,молитве,datv,молитва,sing,NOUN,призывать,VERB,потенсив,,,,
нужно к январю YEAR года,нужно,к,январю,datv,январь,sing,NOUN,нужно,PRED,темпоратив,,,,
отношения к христианству,отношения,к,христианству,datv,христианство,sing,NOUN,отношение,NOUN,тематив,,,,
близка к рынку,близка,к,рынку,datv,рынок,sing,NOUN,близкий,ADJS,директив,,,,
к открытию готовятся,готовятся,к,открытию,datv,открытие,sing,NOUN,готовиться,VERB,дестинатив,,,,
отношения к собственному здоровью и здоровью окружающих,отношения,к,здоровью,datv,здоровье,sing,NOUN,отношение,NOUN,тематив,,,,
Только к июню ожидается,ожидается,к,июню,datv,июнь,sing,NOUN,ожидаться,VERB,темпоратив,,,,
к припаркованному рядом служебному «Форду Фокус» подошел,подошел,к,Форду,datv,форд,sing,NOUN,подойти,VERB,директив,,,,
приблизившись к NUM рублям ( NUM рубля ),приблизившись,к,рублям,datv,рубль,plur,NOUN,приблизиться,GRND,директив,,,,
направился к журналистам,направился,к,журналистам,datv,журналист,plur,NOUN,направиться,VERB,директив,,,,
укрепился к бивалютной корзине ( YEAR доллара и YEAR евро ),укрепился,к,корзине,datv,корзина,sing,NOUN,укрепиться,VERB,квалификатив,,,,
подготовились к первому матчу,подготовились,к,матчу,datv,матч,sing,NOUN,подготовиться,VERB,дестинатив,,,,
имеют к банкроту,имеют,к,банкроту,datv,банкрот,sing,NOUN,иметь,VERB,дестинатив,,,,
ждут к NUM часам,ждут,к,часам,datv,часы,plur,NOUN,ждать,VERB,темпоратив,,,,
опоздал к умирающей пациентке,опоздал,к,пациентке,datv,пациентка,sing,NOUN,опоздать,VERB,директив,,,,
относятся и к католикам,относятся,к,католикам,datv,католик,plur,NOUN,относиться,VERB,квалификатив,,,,
к несчастному случаю привело,привело,к,случаю,datv,случай,sing,NOUN,привести,VERB,трансгрессив,,,,
планируется к июлю YEAR года,планируется,к,июлю,datv,июль,sing,NOUN,планироваться,VERB,темпоратив,,,,
к вечеру воскресенья достигло,достигло,к,вечеру,datv,вечер,sing,NOUN,достигнуть,VERB,темпоратив,,,,
обратилась к главе Центрального района Матвиенко,обратилась,к,главе,datv,глава,sing,NOUN,обратиться,VERB,дестинатив,,,,
терпение к многочисленным ссылкам адвокатов,терпение,к,ссылкам,datv,ссылка,plur,NOUN,терпение,NOUN,тематив,,,,
отойти к комитету по развитию транспортной инфраструктуры,отойти,к,комитету,datv,комитет,sing,NOUN,отойти,INFN,дестинатив,,,,
приговорили к шести годам лишения свободы в колонии строгого режима,приговорили,к,годам,datv,год,plur,NOUN,приговорить,VERB,дестинатив,,,,
привлечь к ответственности,привлечь,к,ответственности,datv,ответственность,sing,NOUN,привлечь,INFN,потенсив,,,,
призыв к объединению КПРФ со «Справедливой Россией»,призыв,к,объединению,datv,объединение,sing,NOUN,призыв,NOUN,потенсив,,,,
